uniqueID,mass_g
151,2.6329
129,2.7675
40,2.031
123,4.0579
158,1.4795
157,2.5045
136,2.5411
148,3.3554
124,3.0453
35,3.5565
39,2.6645
38,4.5565
37,2.4413
48,3.6336
47,2.9509
49,3.8467
56,2.1182
62,1.8866
67,3.8392
63,3.4041
109,3.8857
115,2.8657
121,2.1209
245,3.7838
96,2.189
154,2.4506
166,1.8241
153,2.5996
145,2.3811
176,1.952
165,2.5474
169,1.6948
160,3.0534
117,2.9843
119,1.9646
139,2.7083
134,2.238
140,3.3231
147,2.1833
130,2.2538
105,2.44
103,3.2785
220,2.8556
104,3.7514
207,2.0645
149,2.4419
142,2.389
138,2.3502
141,2.6393
137,2.4448
113,3.2703
131,2.1826
128,3.9138
79,3.5153
66,3.8493
80,2.4255
75,3.0051
65,2.5256
53,2.9052
74,3.0613
127,3.098
135,3.7157
164,0.1535
1,3.5185
17,3.1845
25,2.1285
243,3.2142
252,3.7187
249,2.1404
244,3.3689
237,2.2621
239,3.5105
224,3.337
236,3.449
217,1.4377
209,3.4422
111,2.6311
90,2.3335
203,3.2866
177,2.7355
182,2.5253
183,2.0778
188,2.3908
184,2.0314
200,3.4236
199,3.2321
195,1.7161
196,1.9334
211,1.9358
212,1.7212
10,1.9708
156,2.9745
162,2.3621
78,3.8411
206,2.639
210,3.2613
178,2.3347
202,1.894
101,2.0076
99,3.32
233,2.4795
204,2.1938
125,3.7642
12,3.2339
16,2.5308
155,1.303
97,2.02
234,2.8507
126,2.2655
144,2.1721
120,3.2119
143,3.1876
116,2.9986
87,3.0262
85,1.3124
92,2.089
112,2.997
91,2.5002
94,1.6158
95,1.916
98,2.677
190,2.2304
100,1.9651
205,1.9188
201,2.0011
213,2.2095
247,2.6336
248,2.4484
185,2.0604
242,2.7852
222,1.9673
223,3.0006
107,1.2873
228,1.6614
161,3.2294
189,0.306
251,3.1388
250,1.1606
238,2.1544
227,2.5076
230,2.9747
225,2.0253
226,2.6441
133,3.3808
82,3.603
170,2.2914
84,2.7031
146,3.1253
240,3.656
88,2.8132
89,3.1812
163,2.3053
167,2.7714
5,1.623
8,2.6907
150,2.323
219,2.254
34,2.7289
221,2.2169
235,2.8587
232,3.4745
197,2.1603
191,3.1872
132,2.8072
194,1.3192
218,1.295
152,3.0647
186,0.7367
174,2.3939
159,2.4922
168,2.711
229,2.448
110,2.1332
93,2.5922
102,3.0199
21,4.4611
22,1.8214
27,1.2663
28,3.3161
9,1.979
14,2.3101
19,3.6592
77,2.7281
4,2.9643
45,3.8067
6,4.602
46,2.9144
42,3.6147
2,2.2186
55,4.1469
7,3.286
13,3.0492
3,1.8154
20,4.839
26,2.7823
15,1.5337
192,1.3392
179,3.0062
198,2.6852
29,3.0347
43,2.7683
44,1.9378
50,4.2721
41,3.6239
54,4.1428
59,2.9241
60,3.2604
72,3.6517
24,2.4819
173,3.1332
76,3.3169
11,4.2507
51,3.4283
208,1.4722
73,2.0911
58,2.577
52,2.965
61,2.6191
57,2.4354
18,2.9681
36,3.2439
193,2.3985
30,4.3761
175,2.3716
69,2.1428
31,3.3192
33,2.1011
32,4.348
23,2.8503
71,3.2646
64,2.5437
70,2.269
68,3.3552
187,2.9165
181,2.0801
180,2.8811
86,2.4094
83,3.1809
171,2.5095
81,2.2754
